,age,male,female
1,20,0,0
2,21,0,0
3,22,0,0
4,23,0,0
5,24,0,0
6,25,0,0
7,26,0,0
8,27,0,0
9,28,0,0
10,29,0,0
11,30,0,0
12,31,0,0
13,32,0,0
14,33,0,0
15,34,0,0
16,35,0,0
17,36,0,0
18,37,0,0
19,38,0,0
20,39,0,0
21,40,0.00254975,0.002038507
22,41,0.00254975,0.002038507
23,42,0.00254975,0.002038507
24,43,0.00254975,0.002038507
25,44,0.00254975,0.002038507
26,45,0.00254975,0.002038507
27,46,0.00254975,0.002038507
28,47,0.00254975,0.002038507
29,48,0.00254975,0.002038507
30,49,0.00254975,0.002038507
31,50,0.00254975,0.002038507
32,51,0.00254975,0.002038507
33,52,0.00254975,0.002038507
34,53,0.00254975,0.002038507
35,54,0.00254975,0.002038507
36,55,0.00254975,0.002038507
37,56,0.00254975,0.002038507
38,57,0.00254975,0.002038507
39,58,0.00254975,0.002038507
40,59,0.00254975,0.002038507
41,60,0.00254975,0.002038507
42,61,0.00254975,0.002038507
43,62,0.00254975,0.002038507
44,63,0.00254975,0.002038507
45,64,0.00254975,0.002038507
46,65,0.022366125,0.015998827
47,66,0.022366125,0.015998827
48,67,0.022366125,0.015998827
49,68,0.022366125,0.015998827
50,69,0.022366125,0.015998827
51,70,0.042191245,0.035086904
52,71,0.042191245,0.035086904
53,72,0.042191245,0.035086904
54,73,0.042191245,0.035086904
55,74,0.042191245,0.035086904
56,75,0.080187871,0.084184133
57,76,0.080187871,0.084184133
58,77,0.080187871,0.084184133
59,78,0.080187871,0.084184133
60,79,0.080187871,0.084184133
61,80,0.153701748,0.195775096
62,81,0.153701748,0.195775096
63,82,0.153701748,0.195775096
64,83,0.153701748,0.195775096
65,84,0.153701748,0.195775096
66,85,0.281575038,0.389908707
67,86,0.281575038,0.389908707
68,87,0.281575038,0.389908707
69,88,0.281575038,0.389908707
70,89,0.281575038,0.389908707
71,90,0.483296509,0.667919576
72,91,0.483296509,0.667919576
73,92,0.483296509,0.667919576
74,93,0.483296509,0.667919576
75,94,0.483296509,0.667919576
76,95,0.483296509,0.667919576
77,96,0.483296509,0.667919576
78,97,0.483296509,0.667919576
79,98,0.483296509,0.667919576
80,99,0.483296509,0.667919576
81,100,0.483296509,0.667919576
82,101,0.483296509,0.667919576
83,102,0.483296509,0.667919576
84,103,0.483296509,0.667919576
85,104,0.483296509,0.667919576
86,105,0.483296509,0.667919576
87,106,0.483296509,0.667919576
88,107,0.483296509,0.667919576
89,108,0.483296509,0.667919576
90,109,0.483296509,0.667919576
91,110,0.483296509,0.667919576
92,111,0.483296509,0.667919576
93,112,0.483296509,0.667919576
94,113,0.483296509,0.667919576
95,114,0.483296509,0.667919576
96,115,0.483296509,0.667919576
97,116,0.483296509,0.667919576
98,117,0.483296509,0.667919576
99,118,0.483296509,0.667919576
100,119,0.483296509,0.667919576
101,120,0.483296509,0.667919576
